,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,rating
0,3.0,568.0,96.0,1.4,93.3,89.2,56.0,66.1,10.8,1398.0,19.5,45359.0,15.1,8572041.0,14856.0,41.2,40.5,18.4,4699444.0,8145.0,500 to 999,Rural,"$434,690 to < $497,197",Under $1.1461,Met Standard
1,4.0,1244.0,96.5,0.0,95.8,98.7,73.0,68.5,16.0,1397.0,19.9,44248.0,14.2,12370380.0,10165.0,58.6,36.6,4.9,6045264.0,4967.0,"1,000 to 1,599",Non-metropolitan Stable,"$216,001 to < $241,215",$1.2543 to under $1.3801,Met Standard
2,3.0,841.0,95.9,0.4,97.7,100.0,43.0,32.6,0.0,1241.0,-1.0,43165.0,14.2,8939228.0,11132.0,47.5,47.3,5.3,3788907.0,4718.0,500 to 999,Rural,"$319,192 to < $340,879",$1.3801 and over,Met Standard
3,3.0,383.0,95.5,1.6,90.9,97.6,29.0,34.5,40.0,-1.0,22.4,43988.0,11.0,4225820.0,11421.0,53.1,41.7,5.3,2067502.0,5588.0,Under 500,Rural,"$305,220 to < $319,192",$1.2543 to under $1.3801,Met Standard
4,6.0,3385.0,95.8,0.7,87.6,97.8,175.0,41.7,15.1,1311.0,19.1,42666.0,10.1,38378763.0,11450.0,41.8,44.7,13.5,17594931.0,5249.0,"3,000 to 4,999",Independent Town,"$277,857 to < $305,220",$1.3801 and over,Met Standard
5,4.0,1609.0,96.0,0.4,91.8,96.3,88.0,64.8,14.0,1333.0,19.5,42242.0,12.2,14837159.0,9302.0,53.7,38.3,8.0,8053949.0,5049.0,"1,600 to 2,999",Non-metropolitan Stable,"$257,557 to < $277,857",$1.1461 to under $1.2543,Met Standard
6,2.0,414.0,96.9,0.0,96.4,100.0,32.0,25.0,25.0,1607.0,-1.0,45664.0,14.4,4123964.0,10601.0,57.3,37.7,5.0,2325824.0,5979.0,Under 500,Rural,"$277,857 to < $305,220",$1.1461 to under $1.2543,Met Standard
7,6.0,3968.0,95.7,0.3,96.0,95.3,255.0,38.0,19.6,1431.0,19.7,55014.0,13.2,49015289.0,12235.0,6.8,87.9,5.2,21843210.0,5453.0,"3,000 to 4,999",Other Central City Suburban,"$801,423 to < $24,507,828",$1.1461 to under $1.2543,Met Standard
8,5.0,2778.0,96.1,0.8,96.8,97.8,189.0,55.0,26.9,1448.0,21.1,48584.0,13.1,27368253.0,9719.0,64.4,26.7,8.9,13049980.0,4634.0,"1,600 to 2,999",Non-metropolitan Stable,"$109,324 to < $157,157",$1.2543 to under $1.3801,Met Standard
9,17.0,8243.0,95.9,1.7,90.9,89.3,510.0,51.0,21.2,1401.0,19.0,46235.0,12.1,77677653.0,9334.0,49.5,38.5,12.1,38749445.0,4656.0,"5,000 to 9,999",Independent Town,"$257,557 to < $277,857",$1.1461 to under $1.2543,Met Standard
10,5.0,1699.0,95.3,0.9,90.7,93.8,130.0,42.3,16.4,1409.0,20.5,44664.0,13.6,18276171.0,10414.0,67.7,23.5,8.8,7856803.0,4477.0,"1,600 to 2,999",Non-metropolitan Stable,"$109,324 to < $157,157",$1.3801 and over,Met Standard
11,6.0,1878.0,96.1,0.6,97.3,99.2,116.0,46.6,9.3,1287.0,18.2,46805.0,11.9,20964929.0,10863.0,68.1,20.1,11.8,9793190.0,5074.0,"1,600 to 2,999",Non-metropolitan Stable,"$109,324 to < $157,157",$1.2543 to under $1.3801,Met Standard
12,3.0,419.0,96.0,0.7,97.6,92.3,40.0,30.0,0.0,1383.0,-1.0,48041.0,14.5,5386269.0,13073.0,56.8,29.6,13.6,2574055.0,6248.0,Under 500,Rural,"$216,001 to < $241,215",$1.3801 and over,Met Standard
13,4.0,1583.0,95.6,0.8,95.7,95.5,96.0,33.7,28.1,1446.0,20.4,45396.0,10.3,16946583.0,10760.0,64.4,26.1,9.5,8432764.0,5354.0,"1,000 to 1,599",Non-metropolitan Stable,"$157,157 to < $191,946",$1.2543 to under $1.3801,Met Standard
